MAYONNAISE,58.694378397,826,0,1919767.388714082
DEPARTMENT OF CRYPTO EFFICIENCY,23.031792156,278,0,701043.7859437582
Faggot,102.488908378,513,0,688350.740926255
Let me do it for you,91.632850054,261,2.5148,100003.0187713226
GYMGUY,57.484763622,221,0,147031.6713853929
WOULD,180.49116508,1301,0,4915798.78199754
PA(JEET),77.743989269,132,0,82589.87969117115
MUSKWIFHAT,1601.210153915,375,0,783848.270641872
Sprunki,67.824580314,361,1.759,101381.4829219595
MoonDogLive,20.826073835,249,0,120877.6184786814
MUSTAAAAAARD,2415.452270222,15092,0.15,93191456.10517152
Chill Government,110.648035557,5267,0,7988964.713178212
Doge Matrix,81.637866112,958,0.0081,978199.5250169198
GURB GURB GURB,19.380274626,157,0,188824.8806882746
Polar Inu,123.080753021,2809,4.0209,4489307.39052576
Let me do it for you,91.626395214,261,2.5148,100004.6867877583
GYMGUY,57.484763623,221,0,147036.8177850194
dafuq,119.275810339,1310,0,3152471.100539246
I AM IRONYMAN,476.768555107,6825,0,30432360.22895763
Chill Beast,43.960287535,130,0,29009.53470571513
RIGHT TO BEAR ARMS,37.280428435,250,0,486062.3102156104
Rizzyear,194.053448751,2275,0,1224570.581208624
IRL LIVE STREAM UNTIL 100M,189.244463834,1786,1.0624,3810644.548998648
just a skating dino,30.151047781,391,0,225637.3412403486
WOULD,179.89463443,1301,0,4915952.933444912
ai16zero,142.454324324,952,0,1886238.231939045
Sasha - Dasha’s Lil Shi,74.907853857,262,3.5767,203360.6373910086
PA(JEET),77.797743571,133,0,82603.77051715922
Its Pink,44.004635055,397,4.5,1670240.314318719
Sprunki,68.519492876,362,1.759,101561.0575628071
MUSTAAAAAARD,2417.540294373,15092,0.15,93192024.61440772
Valentine,184.949513942,1269,1.7613,6451946.5359287
GYMGUY,57.485767964,221,0,147037.0773200807
mind zero,479.863258596,1657,2.1856,4942731.866152777
Its Pink,45.103644955,398,4.5,1670265.89979264
Machine Delusions,162.636332059,708,3.1252,986057.8069058206
Giant Goose,310.631445133,10528,0,2554430.613546259
MUSTAAAAAARD,2417.540294373,15092,0.15,93192053.55045518
Gnome,292.814936258,5175,0,20792180.82247179
Locked In Dog Cage Until 25M,76.269367142,1988,0,8272353.60483363
CATAR,74.392404937,220,0,120108.0350344615
Rizzyear,195.976975445,2277,0,1225067.64606847
autism space dog,61.198586197,129,0,163922.9882845904
ai16zero,140.980101456,952,0,1886619.190719368
Its Pink,45.103644955,398,4.5,1670524.313081833
Machine Delusions,162.636332059,708,3.1252,986083.3898214508
RIGHT TO BEAR ARMS,37.280428435,250,0,486062.3102156104
dafuq,119.275810339,1310,0,3152471.100539246
pxlpshr,237.187338811,2265,3.4706,8296475.964255199
MUSKWIFHAT,1601.210984915,375,0,783848.4853833152
MUSTAAAAAARD,2425.822304247,15093,0.15,93194193.73186783
Gnome,292.52959843,5174,0,20792254.55755845
Maggie The Labrador,10.041183571,160,0,125424.8101433317
RizzSanta,80.843516322,255,0,26619.73384516218
yurang ,236.530551811,1498,0,2998776.485735431
First AI Owned Dog,197.809996143,1266,0.9996,2465277.039267614
Nostalgia,72.712871387,814,0,1771537.544497026
Rizzyear,195.493630007,2277,0,1225192.54895292
Nonchalant,58.416518748,610,2.0065,350453.5189405563
WOULD,178.379086721,1300,0,4916396.253771161
ai16zero,140.994017456,953,0,1886622.7867987
PA(JEET),78.172107082,134,0,82700.5110233904
Kim Jong Musk,39.261473695,161,0,194630.9016315776
Sprunki,68.512133167,361,1.759,101562.9594094173
Skibidi Edge Rizz,100.318975741,1689,0.0035,3144273.542156014
DOGGY,23.165911557,614,0,200253.6692911806
ALGOHIVE,25.239219095,132,3.422,51005.26509062284
emilycc,86.975883689,711,0,941081.5706728254
State Of Fading ,37.979614188,214,0,270316.6626589147
Just a coin,24.781706039,252,0,241249.6219951281
Just a Chill Arab Guy,68.988708512,366,1.7609,253064.63219889
autism space dog,61.198586198,129,0,163929.7084578428
WOULD,178.317989401,1300,0,4916412.042130583
ai16zero,142.994017456,954,0,1887139.613377085
Machine Delusions,163.136332059,709,3.1252,986212.596466047
MUSTAAAAAARD,2425.622234965,15093,0.15,93194245.43242908
OCTOALIENCOIN,44.996215293,167,1.8429,58661.88943708753
MUSKWIFHAT,1601.230984915,377,0,783853.653649099
gon,71.728595772,1788,0,6687943.233578391
Just a Chill Arab Guy,68.988708512,366,1.7609,253064.63219889
WOULD,28.16794892,332,0,1471226.276129516
First Living AI Organism ,23.372233636,405,0,119931.7312426951
Just A Chill Elon ,72.038695642,660,0,380343.3542373387
Locked In Dog Cage Until 25M,76.269367142,1988,0,8272353.60483363
ogmeme.com,78.635266336,1772,0.515,5960279.752121357
CATAR,74.392404938,220,0,120113.203299987
aurofina,39.398479564,121,0,32586.37726989135
Machine Delusions,163.383832059,710,3.1252,986276.553755122
Sprunki,69.512133167,361,1.759,101821.3726986098
Polar Inu,123.080753021,2809,4.0209,4489307.39052576
yurang ,237.030551811,1499,0,2998905.692380027
just a pickle,71.916962777,258,0,165551.3723607633
Just a Puff Guy,51.441629524,187,0,94005.31971366191
IRL LIVE STREAM UNTIL 100M,190.244463834,1787,1.0624,3810902.962287841
ai16zero,143.257902511,955,0,1887278.152603408
Machine Delusions,165.550472606,712,3.1252,986928.7614760346
Giant Goose,310.850435857,10528,0,2554487.203659551
MUSTAAAAAARD,2425.731102645,15093,0.15,93194303.05977042
KAOMOJI,68.044466253,2581,0.0268,7859902.747811137
OIIA CAT,95.035602944,177,2,342631.7820238449
OSMAN,188.196251228,3232,3.4613,12636304.49226534
Brian Griffin,62.129419905,1977,0,2513523.653702443
OCTOALIENCOIN,44.996215294,167,1.8429,58673.78252756301
Rizzyear,196.08561413,2279,0,1225347.471822619
pxlpshr,235.98903006,2264,3.4706,8296785.623161013
power of irony man Elon,120.131956031,429,0,272001.6368626966
Chillgamble,67.956213131,122,0.1785,25726.84397420478
Orcan AI,23.644533892,139,0,387716.528027234
WOULD,178.367489401,1301,0,4916424.833588398
emilycc,87.000883689,711,0,941088.0310050552
ai16zero,143.394017456,955,0,1887242.978692763
Memelink,62.162276256,204,0.3565,173291.2069641745
PA(JEET),78.273212184,135,0,82726.63792535236
Its Pink,52.053644955,399,4.5,1672320.285441721
Machine Delusions,165.459938172,711,3.1252,986877.0788181962
MUSKWIFHAT,1601.449278001,377,0,783926.4504593341
Kim Jong Musk,39.083240192,158,0,194676.9595373321
Sprunki,69.497003494,360,1.759,101825.2824071742
MUSTAAAAAARD,2419.151725907,15093,0.15,93196003.25815412
GYMGUY,57.485767965,221,0,147042.2691089679
autism space dog,61.198586199,129,0,163936.4286310953
Machine Delusions,165.550472606,712,3.1252,987008.2146642582
MUSKWIFHAT,1601.449978001,377,0,783926.6313486365
Kim Jong Musk,39.004045432,158,0,194697.4245157505
OCTOALIENCOIN,44.996215294,167,1.8429,58673.78252756301
I AM IRONYMAN,477.263555107,6826,0,30432488.14353579
WOULD,178.667489401,1302,0,4916502.357575156
ai16zero,145.257902511,956,0,1887794.979181793
Its Pink,52.078394955,400,4.5,1672326.681170629
